"add new","add new"
"App Form","App Form"
"Send App Details","Send App Details"
General,General
"Form Information","Form Information"
"App Details","App Details"
"App Name","App Name"
"User Name","User Name"
Email,Email
"Production Server Url","Production Server Url"
"Development Server Url","Development Server Url"
"App Icon (144 X 144 )","App Icon (144 X 144 )"
"Acceptable file types: jpg, jpeg, png.","Acceptable file types: jpg, jpeg, png."
"App Icon (96 X 96 )","App Icon (96 X 96 )"
"App Icon (72 X 72 )","App Icon (72 X 72 )"
"App Icon (48 X 48 )","App Icon (48 X 48 )"
"Splash Image (720 X 1280 )","Splash Image (720 X 1280 )"
Token,Token
"To know more about token generation,refer the User Guide provided with module","To know more about token generation,refer the User Guide provided with module"
"Phone Number","Phone Number"
"App Information","App Information"
Country,Country
"Country ID","Country ID"
"Country Name","Country Name"
"-- Please Select Country to Filter --","-- Please Select Country to Filter --"
Delete,Delete
"Are you sure?","Are you sure?"
"Add New Region","Add New Region"
"Manage Regions","Manage Regions"
"Save Region","Save Region"
"Delete Region","Delete Region"
"Region Information","Region Information"
"Region Name","Region Name"
"Region Code","Region Code"
"Locale en_US Region Name","Locale en_US Region Name"
"-- Please Select Country --","-- Please Select Country --"
"Default Region Name","Default Region Name"
Edit,Edit
"Thank you !!!","Thank you !!!"
"Fill The App Form","Fill The App Form"
"Data is Submitted Successfully.","Data is Submitted Successfully."
"Please check the apk information provided.","Please check the apk information provided."
"'We can\'t process your request right now. Sorry, that\'s all we know.' .","'We can\'t process your request right now. Sorry, that\'s all we know.' ."
"Thanks for contacting us.We'll respond to you very soon.","Thanks for contacting us.We'll respond to you very soon."
"'We can\'t process your request right now.' . 'Sorry, that\'s all we know.' .","'We can\'t process your request right now.' . 'Sorry, that\'s all we know.' ."
"Advance Directory","Advance Directory"
"Please select Country / Countries.","Please select Country / Countries."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Region deleted successfully !","Region deleted successfully !"
"This region no longer exists.","This region no longer exists."
"Edit ' . . ' Region","Edit ' . . ' Region"
"Manage ' . . ' Regions","Manage ' . . ' Regions"
"Please select product(s).","Please select product(s)."
"The Region Has been Saved Successfully.","The Region Has been Saved Successfully."
"The Country & Region combination must be unique","The Country & Region combination must be unique"
"Something went wrong while saving the region.","Something went wrong while saving the region."
"Apk Details","Apk Details"
"App Name:","App Name:"
"Base Url:","Base Url:"
"User Name:","User Name:"
Email:,Email:
"Production Server Url:","Production Server Url:"
"Development Server Url:","Development Server Url:"
"Token ID:","Token ID:"
"Phone Number:","Phone Number:"
"Disallowed file type.","Disallowed file type."
Oscprofessionals,Oscprofessionals
OscShop,OscShop
"OscShop Settings","OscShop Settings"
"Enable OscShop","Enable OscShop"
"Email Settings","Email Settings"
"Email Template","Email Template"
